num,sequance,probabilities
2,3233223333222323222223222332222332322233333222333233333333232322233222232332232323223232332223233332332322332223332232333332333222333332333232232232232223222223233332323332223333323223223323233333323232223333322233333322223322232323333332223333223223233232322233322332223322322323332322332223332233322233322333233322322232222223323233333223333323332333332323322223222333222223323323223222323322333322322323223323223232233223223222222322222332223332323223323222232223233222323233233222332222223333333222233322333232333222232322323322222232233332222233232322233332322332322323322333332322323333322232333333222232233223333333232322323232222232222232332323232222223233322223322323223323323233333322232333223322223322223333233223222223322322322323322223222323222322333232332322223233232333233232233332223322223222333322233322223233332323323233233333233232333232223323232333222323232332333332323223223322332333233232323322333323323332222223323332222222232232233322332323222223333333223232232332332233222333,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
2,3233223333222323222223222332222332322233333222333233333333232322233222232332232323223232332223233332332322332223332232333332333222333332333232232232232223222223233332323332223333323223223323233333323232223333322233333322223322232323333332223333223223233232322233322332223322322323332322332223332233322233322333233322322232222223323233333223333323332333332323322223222333222223323323223222323322333322322323223323223232233223223222222322222332223332323223323222232223233222323233233222332222223333333222233322333232333222232322323322222232233332222233232322233332322332322323322333332322323333322232333333222232233223333333232322323232222232222232332323232222223233322223322323223323323233333322232333223322223322223333233223222223322322322323322223222323222322333232332322223233232333233232233332223322223222333322233322223233332323323233233333233232333232223323232333222323232332333332323223223322332333233232323322333323323332222223323332222222232232233322332323222223333333223232232332332233222333,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
3,0303020302120313020312030312131212130203130203030312020313130313120212130312121313131202030202121212121202020302120203020312130202031203121302021313131213120302030213131213121313020212130302020312130303131302131203120303031212021303120303021212131303130303031203021213130213030213120312130212120302131312131302131212131313020313121203020302121313021203031212030212130213121203020312031303020202120302030303130313131302120203020302121203030212121213120313120302021213131303131302020202120302131213030202121302120312030202131202130302021302121313131312130202020302121212131303020312030213030203121312121212120213021303031313131312120213030202131313121312030303020313131203131203031212020212131203020312121212130212121312021203130303021213121212030312131302030312130202121213121313120213121302031312120313121303121203031302020213030213121312031303130213020203030212131302030302021212021303021312120203131303120313130302031202020302030312020212021313030202120213020302131213120313120303121213131202130303,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
3,0303020302120313020312030312131212130203130203030312020313130313120212130312121313131202030202121212121202020302120203020312130202031203121302021313131213120302030213131213121313020212130302020312130303131302131203120303031212021303120303021212131303130303031203021213130213030213120312130212120302131312131302131212131313020313121203020302121313021203031212030212130213121203020312031303020202120302030303130313131302120203020302121203030212121213120313120302021213131303131302020202120302131213030202121302120312030202131202130302021302121313131312130202020302121212131303020312030213030203121312121212120213021303031313131312120213030202131313121312030303020313131203131203031212020212131203020312121212130212121312021203130303021213121212030312131302030312130202121213121313120213121302031312120313121303121203031302020213030213121312031303130213020203030212131302030302021212021303021312120203131303120313130302031202020302030312020212021313030202120213020302131213120313120303121213131202130303,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
3,0303020302120313020312030312131212130203130203030312020313130313120212130312121313131202030202121212121202020302120203020312130202031203121302021313131213120302030213131213121313020212130302020312130303131302131203120303031212021303120303021212131303130303031203021213130213030213120312130212120302131312131302131212131313020313121203020302121313021203031212030212130213121203020312031303020202120302030303130313131302120203020302121203030212121213120313120302021213131303131302020202120302131213030202121302120312030202131202130302021302121313131312130202020302121212131303020312030213030203121312121212120213021303031313131312120213030202131313121312030303020313131203131203031212020212131203020312121212130212121312021203130303021213121212030312131302030312130202121213121313120213121302031312120313121303121203031302020213030213121312031303130213020203030212131302030302021212021303021312120203131303120313130302031202020302030312020212021313030202120213020302131213120313120303121213131202130303,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
3,0303020302120313020312030312131212130203130203030312020313130313120212130312121313131202030202121212121202020302120203020312130202031203121302021313131213120302030213131213121313020212130302020312130303131302131203120303031212021303120303021212131303130303031203021213130213030213120312130212120302131312131302131212131313020313121203020302121313021203031212030212130213121203020312031303020202120302030303130313131302120203020302121203030212121213120313120302021213131303131302020202120302131213030202121302120312030202131202130302021302121313131312130202020302121212131303020312030213030203121312121212120213021303031313131312120213030202131313121312030303020313131203131203031212020212131203020312121212130212121312021203130303021213121212030312131302030312130202121213121313120213121302031312120313121303121203031302020213030213121312031303130213020203030212131302030302021212021303021312120203131303120313130302031202020302030312020212021313030202120213020302131213120313120303121213131202130303,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
1,0212121033330333333033033300212120211111202030301012102030033333303010021010210200202111201211120112010212021110302033301203330020210300300000110012121203000000000203030111030112101211010302103303030302112101033333330210202100330102020100301101020300011111002112121203021210003002012003021002001212021210210112033333030210200121002003303010211010302110100100030203030333301101212030330330330202033301203333012110012120210012121100121101002033021001211020212102120330111100121212121211030011202110303302020120033303301003333300203330212021100211210302030203301021020211021120330002120330301211202100300202103011121101012020202033020301211100120330111101010111012002021200210020300210330012112030001120033330210011012103300202030303030100212100100030201111210210001012012101030030211212110033020200101033012101111201030111103302120211211210110102012121030303011110330302030210111100100201211012112020330211010112103300011120001211120211012000110301210203033300030100303033020121111200211112012101203011,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
1,0212121033330333333033033300212120211111202030301012102030033333303010021010210200202111201211120112010212021110302033301203330020210300300000110012121203000000000203030111030112101211010302103303030302112101033333330210202100330102020100301101020300011111002112121203021210003002012003021002001212021210210112033333030210200121002003303010211010302110100100030203030333301101212030330330330202033301203333012110012120210012121100121101002033021001211020212102120330111100121212121211030011202110303302020120033303301003333300203330212021100211210302030203301021020211021120330002120330301211202100300202103011121101012020202033020301211100120330111101010111012002021200210020300210330012112030001120033330210011012103300202030303030100212100100030201111210210001012012101030030211212110033020200101033012101111201030111103302120211211210110102012121030303011110330302030210111100100201211012112020330211010112103300011120001211120211012000110301210203033300030100303033020121111200211112012101203011,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
1,0212121033330333333033033300212120211111202030301012102030033333303010021010210200202111201211120112010212021110302033301203330020210300300000110012121203000000000203030111030112101211010302103303030302112101033333330210202100330102020100301101020300011111002112121203021210003002012003021002001212021210210112033333030210200121002003303010211010302110100100030203030333301101212030330330330202033301203333012110012120210012121100121101002033021001211020212102120330111100121212121211030011202110303302020120033303301003333300203330212021100211210302030203301021020211021120330002120330301211202100300202103011121101012020202033020301211100120330111101010111012002021200210020300210330012112030001120033330210011012103300202030303030100212100100030201111210210001012012101030030211212110033020200101033012101111201030111103302120211211210110102012121030303011110330302030210111100100201211012112020330211010112103300011120001211120211012000110301210203033300030100303033020121111200211112012101203011,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
1,0212121033330333333033033300212120211111202030301012102030033333303010021010210200202111201211120112010212021110302033301203330020210300300000110012121203000000000203030111030112101211010302103303030302112101033333330210202100330102020100301101020300011111002112121203021210003002012003021002001212021210210112033333030210200121002003303010211010302110100100030203030333301101212030330330330202033301203333012110012120210012121100121101002033021001211020212102120330111100121212121211030011202110303302020120033303301003333300203330212021100211210302030203301021020211021120330002120330301211202100300202103011121101012020202033020301211100120330111101010111012002021200210020300210330012112030001120033330210011012103300202030303030100212100100030201111210210001012012101030030211212110033020200101033012101111201030111103302120211211210110102012121030303011110330302030210111100100201211012112020330211010112103300011120001211120211012000110301210203033300030100303033020121111200211112012101203011,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
2,0030330030331230313303223133332213230323303213323223222313032132213123032322130303000323303233121223133313212221232123313223122123322131312330030000331321331223133222122212213221322123312221331221223230000032232321313000003132303312123122231312213133030322121321313213330000321213213212212122123133123122222322130003121233130321313000030000000323213213232321313121231313033233121212300003331212123031223233231212121231312131212221230033212212230322330000000313000300332233033131213332222132303003121212213031330030003003033033212321232121223000031222321232300000032213123300003232233003213321313213312321212130000033132133322132132213221230322221213123213032233223233123231223233033130003321221300300303230003222121333232321221300322121213123300000312122222231321222330303000003323331330322313330003131321212121223122223000321212312223330321323213213223222222303122303133221212222233003312132213212322300003132231300300003122321223222121312121221303130303121303130321212303300030033233121221213222222,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
2,0030330030331230313303223133332213230323303213323223222313032132213123032322130303000323303233121223133313212221232123313223122123322131312330030000331321331223133222122212213221322123312221331221223230000032232321313000003132303312123122231312213133030322121321313213330000321213213212212122123133123122222322130003121233130321313000030000000323213213232321313121231313033233121212300003331212123031223233231212121231312131212221230033212212230322330000000313000300332233033131213332222132303003121212213031330030003003033033212321232121223000031222321232300000032213123300003232233003213321313213312321212130000033132133322132132213221230322221213123213032233223233123231223233033130003321221300300303230003222121333232321221300322121213123300000312122222231321222330303000003323331330322313330003131321212121223122223000321212312223330321323213213223222222303122303133221212222233003312132213212322300003132231300300003122321223222121312121221303130303121303130321212303300030033233121221213222222,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
2,0030330030331230313303223133332213230323303213323223222313032132213123032322130303000323303233121223133313212221232123313223122123322131312330030000331321331223133222122212213221322123312221331221223230000032232321313000003132303312123122231312213133030322121321313213330000321213213212212122123133123122222322130003121233130321313000030000000323213213232321313121231313033233121212300003331212123031223233231212121231312131212221230033212212230322330000000313000300332233033131213332222132303003121212213031330030003003033033212321232121223000031222321232300000032213123300003232233003213321313213312321212130000033132133322132132213221230322221213123213032233223233123231223233033130003321221300300303230003222121333232321221300322121213123300000312122222231321222330303000003323331330322313330003131321212121223122223000321212312223330321323213213223222222303122303133221212222233003312132213212322300003132231300300003122321223222121312121221303130303121303130321212303300030033233121221213222222,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
2,0030330030331230313303223133332213230323303213323223222313032132213123032322130303000323303233121223133313212221232123313223122123322131312330030000331321331223133222122212213221322123312221331221223230000032232321313000003132303312123122231312213133030322121321313213330000321213213212212122123133123122222322130003121233130321313000030000000323213213232321313121231313033233121212300003331212123031223233231212121231312131212221230033212212230322330000000313000300332233033131213332222132303003121212213031330030003003033033212321232121223000031222321232300000032213123300003232233003213321313213312321212130000033132133322132132213221230322221213123213032233223233123231223233033130003321221300300303230003222121333232321221300322121213123300000312122222231321222330303000003323331330322313330003131321212121223122223000321212312223330321323213213223222222303122303133221212222233003312132213212322300003132231300300003122321223222121312121221303130303121303130321212303300030033233121221213222222,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
3,3322323322223322232333333332232222332322332222233323222322233323332223323223332322333323232322323223322322222222322233232223232332232333223233222233322323233333233223333322333232332323333322332222222232322223333333332323322323332322332322223333222233333222323322323233233222232322232223232232222323233322323232333323223232332232223223333333323323233222323232222332232233333223333233332323322323232222322333333222333323322332232323322232233222333322233222332222233233323333232322322332232323323233223222223223333233222232233333233323323333223333332332332322222232223223223323322333333332232332233322232222323333232333332323223323233232323232232332332232323332223323233233232232333232222332332322333232333223232233322322332223232233222222223222332233332232223232223232322222323322222222222322333332322223233333333322322233232232332233333223322223323322323323332222222222222323232323223233232323232332233323323233222222222332233332223233232233322322222332223332333232233233223232232333233222333233322333,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
3,3322323322223322232333333332232222332322332222233323222322233323332223323223332322333323232322323223322322222222322233232223232332232333223233222233322323233333233223333322333232332323333322332222222232322223333333332323322323332322332322223333222233333222323322323233233222232322232223232232222323233322323232333323223232332232223223333333323323233222323232222332232233333223333233332323322323232222322333333222333323322332232323322232233222333322233222332222233233323333232322322332232323323233223222223223333233222232233333233323323333223333332332332322222232223223223323322333333332232332233322232222323333232333332323223323233232323232232332332232323332223323233233232232333232222332332322333232333223232233322322332223232233222222223222332233332232223232223232322222323322222222222322333332322223233333333322322233232232332233333223322223323322323323332222222222222323232323223233232323232332233323323233222222222332233332223233232233322322222332223332333232233233223232232333233222333233322333,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
3,3322323322223322232333333332232222332322332222233323222322233323332223323223332322333323232322323223322322222222322233232223232332232333223233222233322323233333233223333322333232332323333322332222222232322223333333332323322323332322332322223333222233333222323322323233233222232322232223232232222323233322323232333323223232332232223223333333323323233222323232222332232233333223333233332323322323232222322333333222333323322332232323322232233222333322233222332222233233323333232322322332232323323233223222223223333233222232233333233323323333223333332332332322222232223223223323322333333332232332233322232222323333232333332323223323233232323232232332332232323332223323233233232232333232222332332322333232333223232233322322332223232233222222223222332233332232223232223232322222323322222222222322333332322223233333333322322233232232332233333223322223323322323323332222222222222323232323223233232323232332233323323233222222222332233332223233232233322322222332223332333232233233223232232333233222333233322333,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
3,3322323322223322232333333332232222332322332222233323222322233323332223323223332322333323232322323223322322222222322233232223232332232333223233222233322323233333233223333322333232332323333322332222222232322223333333332323322323332322332322223333222233333222323322323233233222232322232223232232222323233322323232333323223232332232223223333333323323233222323232222332232233333223333233332323322323232222322333333222333323322332232323322232233222333322233222332222233233323333232322322332232323323233223222223223333233222232233333233323323333223333332332332322222232223223223323322333333332232332233322232222323333232333332323223323233232323232232332332232323332223323233233232232333232222332332322333232333223232233322322332223232233222222223222332233332232223232223232322222323322222222222322333332322223233333333322322233232232332233333223322223323322323323332222222222222323232323223233232323232332233323323233222222222332233332223233232233322322222332223332333232233233223232232333233222333233322333,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
4,1202130302131212020212131213020302021213121213130202030303021313130302030213130302120312021302031213120213130212021302130212031213021302131212021213130302031213030303121202021212131202031312021202030203031312030302020203120313021202131213131213131212130213021303020202120212021313021313020202031313031313021302121203121213121302021213121203030302130302030313120202031313131303130303031213021313020212120302030313021213131303131212021312120312131312030302030213131302130302031213021303020312121303030312121213130203131213131212031212031312021303020302020203031203120203120313130202031303030212020212021203031313131302021203131213120203030212031213031212130313120212031313020202020303120203121302120303030202131203031203031313020203030213131212121202121302121203120302020313130202030203030313021303131302030302030203131313021213020313131202030312030313031302120202121213020313030302130203131303121302131203021213030302030202130313030312131202131203021302120303021313121313021202020312021213130303130202,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
4,1202130302131212020212131213020302021213121213130202030303021313130302030213130302120312021302031213120213130212021302130212031213021302131212021213130302031213030303121202021212131202031312021202030203031312030302020203120313021202131213131213131212130213021303020202120212021313021313020202031313031313021302121203121213121302021213121203030302130302030313120202031313131303130303031213021313020212120302030313021213131303131212021312120312131312030302030213131302130302031213021303020312121303030312121213130203131213131212031212031312021303020302020203031203120203120313130202031303030212020212021203031313131302021203131213120203030212031213031212130313120212031313020202020303120203121302120303030202131203031203031313020203030213131212121202121302121203120302020313130202030203030313021303131302030302030203131313021213020313131202030312030313031302120202121213020313030302130203131303121302131203021213030302030202130313030312131202131203021302120303021313121313021202020312021213130303130202,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
4,1202130302131212020212131213020302021213121213130202030303021313130302030213130302120312021302031213120213130212021302130212031213021302131212021213130302031213030303121202021212131202031312021202030203031312030302020203120313021202131213131213131212130213021303020202120212021313021313020202031313031313021302121203121213121302021213121203030302130302030313120202031313131303130303031213021313020212120302030313021213131303131212021312120312131312030302030213131302130302031213021303020312121303030312121213130203131213131212031212031312021303020302020203031203120203120313130202031303030212020212021203031313131302021203131213120203030212031213031212130313120212031313020202020303120203121302120303030202131203031203031313020203030213131212121202121302121203120302020313130202030203030313021303131302030302030203131313021213020313131202030312030313031302120202121213020313030302130203131303121302131203021213030302030202130313030312131202131203021302120303021313121313021202020312021213130303130202,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
4,1202130302131212020212131213020302021213121213130202030303021313130302030213130302120312021302031213120213130212021302130212031213021302131212021213130302031213030303121202021212131202031312021202030203031312030302020203120313021202131213131213131212130213021303020202120212021313021313020202031313031313021302121203121213121302021213121203030302130302030313120202031313131303130303031213021313020212120302030313021213131303131212021312120312131312030302030213131302130302031213021303020312121303030312121213130203131213131212031212031312021303020302020203031203120203120313130202031303030212020212021203031313131302021203131213120203030212031213031212130313120212031313020202020303120203121302120303030202131203031203031313020203030213131212121202121302121203120302020313130202030203030313021303131302030302030203131313021213020313131202030312030313031302120202121213020313030302130203131303121302131203021213030302030202130313030312131202131203021302120303021313121313021202020312021213130303130202,0.3137388926862611-0.11004784688995216-0.3233082706766917-0.252904989747095
2,2121021111212101103021200302020300201010201201020201212021103003033300021011120030103302110200333330002021033021211103333302103333300210300333000121033301030200303333030002120211001011102030010100110330211212110200330001033001202021111211211011102011010200030020202021012121000112110021033333333333303030203012100021210121200212012012000100121211110001011103330200212011011202112030101020003303330121200330333033333302101021020100333002030333302103301202110301030301120110111200110333033330302120201003303012003300000021100120121010302121203301120202033330200301020303333033330120012100033300101012103330110300211202030202010102120200103303003333002103330211120021033330300020303333033333303333001210211202020010020333033033333301210021110333030302021212111030330330112120333010303012121021000011020021121212001103302101100111200033021103333301121211000012112101120300021211121011121212003303020101111000003021210021020002103010210011110011110330112020333010033020201120200033333001103020212100200212,0.4279217826284675-0.3942701227830832-0.15643474306502955-0.021373351523419737
2,2121021111212101103021200302020300201010201201020201212021103003033300021011120030103302110200333330002021033021211103333302103333300210300333000121033301030200303333030002120211001011102030010100110330211212110200330001033001202021111211211011102011010200030020202021012121000112110021033333333333303030203012100021210121200212012012000100121211110001011103330200212011011202112030101020003303330121200330333033333302101021020100333002030333302103301202110301030301120110111200110333033330302120201003303012003300000021100120121010302121203301120202033330200301020303333033330120012100033300101012103330110300211202030202010102120200103303003333002103330211120021033330300020303333033333303333001210211202020010020333033033333301210021110333030302021212111030330330112120333010303012121021000011020021121212001103302101100111200033021103333301121211000012112101120300021211121011121212003303020101111000003021210021020002103010210011110011110330112020333010033020201120200033333001103020212100200212,0.4279217826284675-0.3942701227830832-0.15643474306502955-0.021373351523419737
2,2121021111212101103021200302020300201010201201020201212021103003033300021011120030103302110200333330002021033021211103333302103333300210300333000121033301030200303333030002120211001011102030010100110330211212110200330001033001202021111211211011102011010200030020202021012121000112110021033333333333303030203012100021210121200212012012000100121211110001011103330200212011011202112030101020003303330121200330333033333302101021020100333002030333302103301202110301030301120110111200110333033330302120201003303012003300000021100120121010302121203301120202033330200301020303333033330120012100033300101012103330110300211202030202010102120200103303003333002103330211120021033330300020303333033333303333001210211202020010020333033033333301210021110333030302021212111030330330112120333010303012121021000011020021121212001103302101100111200033021103333301121211000012112101120300021211121011121212003303020101111000003021210021020002103010210011110011110330112020333010033020201120200033333001103020212100200212,0.4279217826284675-0.3942701227830832-0.15643474306502955-0.021373351523419737
2,2121021111212101103021200302020300201010201201020201212021103003033300021011120030103302110200333330002021033021211103333302103333300210300333000121033301030200303333030002120211001011102030010100110330211212110200330001033001202021111211211011102011010200030020202021012121000112110021033333333333303030203012100021210121200212012012000100121211110001011103330200212011011202112030101020003303330121200330333033333302101021020100333002030333302103301202110301030301120110111200110333033330302120201003303012003300000021100120121010302121203301120202033330200301020303333033330120012100033300101012103330110300211202030202010102120200103303003333002103330211120021033330300020303333033333303333001210211202020010020333033033333301210021110333030302021212111030330330112120333010303012121021000011020021121212001103302101100111200033021103333301121211000012112101120300021211121011121212003303020101111000003021210021020002103010210011110011110330112020333010033020201120200033333001103020212100200212,0.4279217826284675-0.3942701227830832-0.15643474306502955-0.021373351523419737
3,0032303123323033312321222212323333122330303000030031221232213313003213000031213123300313130333312123221300033003133031232212323300033031213212132121313122130032212121323121213133133131331333121321330313000031232213031212230313132312133121313122221333003213223222300313122300323332312213130312132123122303033230321222121213003032330323122122123232321333000003121221303221212323003333233121233122230003131313303233031300323132230033230030000032122123330000030031313032222231222212212222131303331231223031321300032323000032213330031312231232232122323232121213333000031323122232212121313313213313303003231223212213330313300330313121312322322312230000000030032122313323003003213033333122213123003330031222321231212303222130030330031222223031232333031322121233321300003131213123033133323122331222221221222321222300033330313000003231212131212233303221313233003232333033032312132212122212133003313032322323123222130333131322322130331331313221300323123231332331300313131232313003312232231331321300333121212212,0.4279217826284675-0.3942701227830832-0.15643474306502955-0.021373351523419737
